change,url,which_live_sitemap,reason
"ADDED","https://www.liquorlicenseagents.com/cities/agoura-hills-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/alameda-type-20-liquor-license-for-beer-and-wine-off-sale/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/alameda-type-48-full-liquor-license-for-bars-and-nightclubs/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/alameda-type-57-full-liquor-license-for-private-clubs/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/alameda-type-75-brewpub-license-for-restaurants-and-breweries/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/alhambra-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/aliso-viejo-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/anaheim-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/antioch-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/arcadia-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/artesia-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/avalon-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/azusa-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/baldwin-park-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/bell-gardens-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/bell-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/bellflower-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/berkeley-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-liquor-licenses-for-restaurants-bars-and-luxury-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-20-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-21-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-41-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-47-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-48-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-57-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/beverly-hills-type-61-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/bradbury-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/brea-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/buena-park-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-20-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-21-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-41-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-47-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-48-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-57-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/burbank-type-61-license/","","live, 200, exactly self-canonical, and no sitemap declared it"
"ADDED","https://www.liquorlicenseagents.com/cities/calabasas-liquor-licenses-for-restaurants-bars-and-retailers/","","live, 200, exactly self-canonical, and no sitemap declared it"
